5/17/1999,PA-28-181,2228Z,1,FCM FCM,1.2,,,1,,,1.0,,,,,,1.0,,1.0,,,,
5/18/1999,PA-28-181,2228Z,1,FCM FCM,1.4,,,1,,,1.3,,,,,,1.3,,1.3,,,,
5/25/1999,PA-28-181,2228Z,1,FCM FCM,1.3,,,1,,,1.2,,,,,,1.2,,1.2,,,,
5/25/1999,PA-28-181,8274H,1,FCM RST AEL FCM,3.2,3.2,,3,1,,2.9,,0.2,,3.2,,3.2,,3.2,,,,
5/28/1999,PA-28-161,2208V,1,FCM FCM,1.2,,,1,,,,,,,,,1.2,,,,,,
5/29/1999,PA-28-161,2240G,1,FCM ORB,2.1,2.1,,1,,,,,,,2.1,,2.1,,,,,,
5/29/1999,PA-28-161,2240G,1,ORB FCM,2.1,2.1,,1,,,,,,,2.1,,2.1,,,,,,
5/30/1999,PA-28-161,2240G,1,FCM FCM,0.5,,,3,,,,,0.5,,,,0.5,,,,,,
6/2/1999,PA-28-181,2228Z,1,FCM DLH BRD FCM,4.2,4.2,,3,,,4.0,,,,4.2,,4.2,,4.2,,,,
6/3/1999,DA-20,201TB,1,FCM STC FCM,1.8,1.8,,2,,,,,,,1.8,,1.8,,,,,,
6/4/1999,PA-28-181,92505,1,FCM FCM,0.9,,,1,,,0.7,,,,,,0.9,,0.9,,,,
6/5/1999,DA-20,201TB,1,FCM FCM,1.4,,,1,,,,,,,,,1.4,,,,,,
6/6/1999,DA-20,201TB,1,FCM DYT,1.6,1.6,,1,,,,,,,1.6,,1.6,,,,,,
6/6/1999,DA-20,201TB,1,DYT FCM,1.6,1.6,,1,1,,,,1.6,,1.6,,1.6,,,,,,
6/14/1999,PA-28-181,8274H,1,FCM FCM,1.6,,,1,,,1.5,,,,,,1.6,,1.6,,,,
6/16/1999,PA-28-161,8189T,1,FCM STP FCM,2.4,2.4,,1,,,,,,,,,2.4,,,,,,
6/19/1999,DA-20,201TB,1,FCM FCM,1.4,,,1,,,,,,,,,1.4,,,,,,
7/2/1999,DA-20,201TB,1,FCM STC FCM,1.4,1.4,,2,,,,,,,1.4,,1.4,,,,,,
7/7/1999,PA-28-181,2228Z,1,FCM  FCM,2.0,,,1,,,,,,,,,2.0,,,,,,Instrument Checkride
7/9/1999,PA-28-181,92505,1,FCM FCM,1.9,,,1,,,1.7,,,,,,1.9,,1.9,,,,
7/12/1999,DA-20,201TB,1,FCM FCM,1.2,,,1,,,,,,,,,1.2,,,,,,
7/20/1999,DA-20,201TB,1,FCM ORB,2.5,2.5,,1,,,,,,,2.5,,2.5,,,,,,
7/20/1999,DA-20,201TB,1,ORB ORB,0.8,,,1,,,,,,,,,0.8,,,,,,
7/21/1999,DA-20,201TB,1,ORB FCM,2.5,2.5,,1,,,,,,,2.5,,2.5,,,,,,
8/9/1999,PA-28-181,92505,1,FCM FCM,1.2,,,5,,,,,,,,,1.2,,,,,,
8/12/1999,PA-28-161,2208V,1,FCM 8Y7 FCM,1.8,1.8,,1,,,,,1.8,,,,1.8,,,,,,
8/16/1999,DA-20,202TB,1,FCM STP,0.5,0.5,,1,,,,,,,,,0.5,,,,,,
8/16/1999,DA-20,202TB,1,STP STP,0.5,,,1,,,,,,,,,0.5,,,,,,
8/16/1999,DA-20,202TB,1,STP FCM,0.8,0.8,,1,,,,,,,,,0.8,,,,,,
8/16/1999,PA-28-181,2228Z,1,FCM SUE,2.8,2.8,,1,,0.5,,,2.8,,2.8,,2.8,,,,,,
8/16/1999,PA-28-181,2228Z,1,SUE GRB,0.8,0.8,,1,,0.4,,,0.8,,0.8,,0.8,,,,,,
